Scale;Original;Published_PT;Profissional_Translation_ENtoPT;Profissional_Translation_PTtoEN;Azure;DeepL;OpenAI;WidnAI
PSDQ;I take into account our child’s preferences in making plans for the family.;Eu levo em consideração as preferências do(a) meu (minha) filho(a) ao fazer planos para a família.;Levo em consideração as preferências do nosso filho ao fazer planos para a família.;I take my child’s preferences into account when making family plans.;Levo em consideração as preferências de nosso filho ao fazer planos para a família.;Levo em conta as preferências do nosso filho ao fazer planos para a família.;Levo em consideração as preferências do nosso filho ao fazer planos para a família.;Levo em consideração as preferências do nosso filho ao fazer planos para a família.
PSDQ;I grab our child when he/she is being disobedient.;Eu seguro com força meu (minha) filho(a) quando ele(a) é desobediente.;Pego nosso filho quando ele está sendo desobediente.;I grab my child forcefully when he/she is disobedient.;Eu agarro nosso filho quando ele está sendo desobediente.;Eu agarro nosso filho quando ele está sendo desobediente.;Eu pego nosso filho(a) quando ele/ela está sendo desobediente.;Eu pego nosso filho quando ele/ela está sendo desobediente.
PSDQ;I state punishments to our child and do not actually do them.;Eu determino castigos para meu (minha) filho(a), mas não os cumpro realmente;Estabeleço punições para nosso filho e não as cumpro de fato.;I assign punishments to my child but don’t actually enforce them.;Eu declaro punições ao nosso filho e na verdade não as faço.;Eu digo as punições ao nosso filho e não as aplico de fato.;Eu estabeleço punições para nosso filho e não as cumpro de fato.;Eu ameaço punir nosso filho, mas não faço isso de fato.
PSDQ;I show respect for our child’s opinions by encouraging our child to express them.;Eu mostro respeito pelas opiniões do(a) meu (minha) filho(a) lhe encorajando a expressá-las. ;Mostro respeito pelas opiniões do nosso filho, incentivando-o a expressá-las.;I show respect for my child’s opinions by encouraging him/her to express them.;Mostro respeito pelas opiniões de nossos filhos, incentivando-os a expressá-las.;Mostro respeito pelas opiniões de nossos filhos, incentivando-os a expressá-las.;Eu demonstro respeito pelas opiniões do nosso filho ao encorajar nosso filho a expressá-las.;Eu demonstro respeito pelas opiniões do meu filho incentivando-o a expressá-las.
PSDQ;I allow our child to give input into family rules.;Eu permito que meu (minha) filho(a) dê opiniões nas regras da família.;Permito que nosso filho dê sugestões nas regras da família.;I allow my child to have input on the family rules.;Eu permito que nosso filho dê informações sobre as regras da família.;Permito que nosso filho dê sua opinião sobre as regras da família.;Eu permito que nosso filho dê opiniões sobre as regras da família.;Eu permito que nosso filho dê sua opinião sobre as regras da família.
PSDQ;I scold and criticize to make our child improve.;Eu repreendo e critico duramente meu (minha) filho(a) para fazê-lo(a) melhorar.;Repreendo e critico para fazer nosso filho melhorar.;I scold and harshly criticize my child to make him/her improve.;Eu repreendo e critico para fazer nosso filho melhorar.;Eu repreendo e critico para fazer com que nosso filho melhore.;Eu repreendo e critico para fazer nosso filho melhorar.;Eu repreendo e critico para fazer com que nosso filho melhore.
PSDQ;I spoil our child.;Eu mimo meu (minha) filho(a).;Mimo nosso filho.;I spoil my child.;Eu estrago nosso filho.;Eu mimo nosso filho.;Eu mimo nosso filho.;Eu mimo nosso filho.
PSDQ;I give our child reasons why rules should be obeyed.;Eu explico ao(à) meu (minha) filho(a) as razões pelas quais as regras devem ser obedecidas. ;Dou ao nosso filho razões pelas quais as regras devem ser obedecidas.;I explain to my child the reasons why rules must be followed.;Eu dou ao nosso filho razões pelas quais as regras devem ser obedecidas.;Apresento ao nosso filho os motivos pelos quais as regras devem ser obedecidas.;Eu dou ao nosso filho razões pelas quais as regras devem ser obedecidas.;Eu dou ao nosso filho razões pelas quais as regras devem ser obedecidas.
PSDQ;I use threats as punishment with little or no justification.;Eu uso ameaças como forma de castigo com pouca ou nenhuma justificativa.;Uso ameaças como punição com pouca ou nenhuma justificativa.;I use threats as punishment with little or no justification.;Eu uso ameaças como punição com pouca ou nenhuma justificativa.;Eu uso ameaças como punição com pouca ou nenhuma justificativa.;Eu uso ameaças como punição com pouca ou nenhuma justificativa.;Eu uso ameaças como punição com pouca ou nenhuma justificativa.
PSDQ;I have warm and intimate times together with our child.;Eu tenho momentos calorosos e especiais com o(a) meu (minha) filho(a);Tenho momentos carinhosos e íntimos junto com nosso filho.;I have warm and special moments with my child.;Tenho momentos calorosos e íntimos junto com nosso filho.;Tenho momentos calorosos e íntimos com nosso filho.;Eu tenho momentos calorosos e íntimos juntos com nosso filho.;Eu tenho momentos calorosos e íntimos com nosso filho.
PSDQ;I punish by putting our child off somewhere alone with little if any explanations.;Como uma forma de castigo, eu coloco meu (minha) filho(a) em algum lugar sozinho(a), mas sem dar muita explicação.;Castigo colocando nosso filho em algum lugar sozinho, com poucas ou nenhuma explicação.;As a form of punishment, I place my child alone somewhere, but without much explanation.;Eu castigo colocando nosso filho em algum lugar sozinho com pouca ou nenhuma explicação.;Eu o castigo colocando nosso filho em algum lugar sozinho com pouca ou nenhuma explicação.;Eu castigo colocando nosso filho em algum lugar sozinho com poucas ou nenhumas explicações.;Eu castigo colocando nosso filho em algum lugar sozinho, com poucas ou nenhuma explicação.
PSDQ;I help our child to understand the impact of behavior by encouraging our child to talk about the consequences of his/her own actions.;Eu ajudo meu (minha) filho(a) a entender o impacto do seu comportamento lhe encorajando a falar sobre as consequências de suas ações.;Ajudo nosso filho a entender o impacto do comportamento, incentivando-o a falar sobre as consequências de suas próprias ações.;I help my child understand the impact of his/her behavior by encouraging him/her to talk about the consequences of their actions.;Eu ajudo nosso filho a entender o impacto do comportamento, incentivando-o a falar sobre as consequências de suas próprias ações.;Ajudo nosso filho a entender o impacto do comportamento, incentivando-o a falar sobre as consequências de suas próprias ações.;Eu ajudo nosso filho a entender o impacto do comportamento incentivando-o a falar sobre as consequências de suas próprias ações.;Eu ajudo nosso filho a entender o impacto do comportamento, incentivando-o a falar sobre as consequências de suas próprias ações.
PSDQ;I scold or criticize when our child’s behavior does not meet our expectations.;Eu repreendo e critico duramente meu (minha) filho(a) quando seu comportamento não atinge minhas expectativas.;Repreendo ou critico quando o comportamento do nosso filho não atende às nossas expectativas.;I scold and harshly criticize my child when his/her behavior does not meet my expectations.;Eu repreendo ou critico quando o comportamento de nosso filho não atende às nossas expectativas.;Eu repreendo ou critico quando o comportamento do nosso filho não atende às nossas expectativas.;Eu repreendo ou critico quando o comportamento do nosso filho não atende às nossas expectativas.;Eu repreendo ou critico quando o comportamento do nosso filho não atende às nossas expectativas.
PSDQ;I explain the consequences of the child’s behavior.;Eu explico ao(à) meu (minha) filho(a) as consequências do seu comportamento.;Explico as consequências do comportamento do nosso filho.;I explain to my child the consequences of his/her behavior.;Eu explico as consequências do comportamento da criança.;Explico as consequências do comportamento da criança.;Eu explico as consequências do comportamento da criança.;Eu explico as consequências do comportamento da criança.
PSDQ;I slap our child when the child misbehaves.;Eu dou uma palmada no(a) meu (minha) filho(a) quando ele(a) se comporta mal.;Dou um tapa em nosso filho quando ele se comporta mal.;I spank my child when he/she misbehaves.;Eu dou um tapa em nosso filho quando ele se comporta mal.;Dou um tapa em nosso filho quando ele se comporta mal.;Eu dou um tapa no nosso filho quando ele se comporta mal.;Eu dou um tapa no nosso filho quando ele se comporta mal.
W-ADL;Making his/her own bed.;Arruma sua própria cama.;Arrumando sua própria cama.;Makes his/her own bed.;Fazendo sua própria cama.;Fazer sua própria cama.;Fazendo sua própria cama.;Fazer a própria cama.
W-ADL;Doing household tasks, including picking up around the house, putting things away, light housecleaning, etc.;Realiza tarefas domésticas, como organizar coisas pela casa, trocar objetos de lugar, limpeza leve etc.;Fazendo tarefas domésticas, incluindo arrumar a casa, guardar as coisas, limpeza leve, etc.;Performs household tasks, such as organizing things around the house, moving objects, light cleaning, etc.;Fazer tarefas domésticas, incluindo pegar em casa, guardar coisas, limpar a casa, etc.;Realização de tarefas domésticas, incluindo coleta de lixo na casa, arrumação de objetos, limpeza leve, etc.;Realizar tarefas domésticas, incluindo arrumar a casa, guardar as coisas, fazer uma limpeza leve, etc.;Realizar tarefas domésticas, incluindo arrumar a casa, guardar as coisas, fazer uma limpeza leve, etc.
W-ADL;Doing errands, including shopping in stores.;Realizam saídas curtas de casa, incluindo fazer compras em lojas.;Fazendo tarefas, incluindo compras em lojas.;Goes on short outings from home, including shopping at stores.;Fazer recados, incluindo compras em lojas.;Fazer recados, inclusive compras em lojas.;Fazendo tarefas, incluindo compras em lojas.;Fazer recados, incluindo fazer compras em lojas.
W-ADL;"Doing home repairs, including simple repairs around the house, non-technical in nature; for example, changing light bulbs or repairing a loose screw.";Realiza pequenos reparos pela casa, incluindo reparos simples, nada muito técnico, como, por exemplo, trocar uma lâmpada ou colocar um parafuso.;"Fazendo reparos domésticos, incluindo reparos simples pela casa, de natureza não técnica; por exemplo, trocar lâmpadas ou consertar um parafuso solto.";Performs small household repairs, including simple, non-technical tasks like changing a light bulb or tightening a screw.;"Fazer reparos domésticos, incluindo reparos simples em casa, de natureza não técnica; por exemplo, trocar lâmpadas ou consertar um parafuso solto.";"Fazer reparos domésticos, inclusive reparos simples na casa, de natureza não técnica; por exemplo, trocar lâmpadas ou consertar um parafuso solto.";"Fazendo reparos domésticos, incluindo reparos simples pela casa, de natureza não técnica; por exemplo, trocar lâmpadas ou consertar um parafuso solto.";"Realizar reparos domésticos, incluindo reparos simples em casa, de natureza não técnica; por exemplo, trocar lâmpadas ou consertar um parafuso solto."
W-ADL;Doing laundry, washing and drying.;Lava roupa.;Lavando roupa, lavando e secando.;Does the laundry.;Lavando roupa, lavando e secando.;Lavar roupa, lavar e secar.;Lavando roupa, lavando e secando.;Fazer a lavagem, lavar e secar.
W-ADL;Washing/bathing.;Toma banho.;Se lavando/tomando banho.;Takes a shower.;Lavagem/banho.;Lavagem/banho.;Lavagem/banho.;Lavar/banhar.
W-ADL;Grooming, brushing teeth, combing and/or brushing hair.;Realiza a higiene pessoal, como escovar os dentes, pentear ou escovar os cabelos.;Higiene pessoal, escovar os dentes, pentear e/ou escovar o cabelo.;Performs personal hygiene, such as brushing teeth, combing or brushing hair.;Escovar, escovar os dentes, pentear e/ou escovar o cabelo.;Higiene, escovação dos dentes, pentear e/ou escovar os cabelos.;Cuidados pessoais, escovar os dentes, pentear e/ou escovar o cabelo.;Higiene pessoal, escovação dos dentes, pentear e/ou escovar o cabelo.
W-ADL;Dressing and undressing.;Coloca e retira sua roupa.;Vestir e despir.;Puts on and takes off his/her clothes.;Vestir e despir.;Vestir-se e despir-se.;Vestir-se e despir-se.;Vestir e despir.
W-ADL;Toileting.;Utiliza o vaso sanitário.;Uso do banheiro.;Uses the toilet.;Banheiro.;Uso do banheiro.;Higiene pessoal.;Ir ao banheiro.
W-ADL;Preparing simple foods requiring no mixing or cooking, including sandwiches, cold cereal, etc.;Prepara alimentos simples, sem a necessidade de misturas ou cozinhar, incluindo sanduíches, cereais etc.;Preparar alimentos simples que não exigem mistura ou cozimento, incluindo sanduíches, cereais frios, etc.;Prepares simple foods, without needing to mix or cook, including sandwiches, cereal, etc.;Preparar alimentos simples que não requerem mistura ou cozimento, incluindo sanduíches, cereais frios, etc.;Preparo de alimentos simples que não requerem mistura ou cozimento, incluindo sanduíches, cereais frios, etc.;Preparando alimentos simples que não requerem mistura ou cozimento, incluindo sanduíches, cereais frios, etc.;Preparar alimentos simples que não necessitam de mistura ou cozimento, incluindo sanduíches, cereais frios, etc.
W-ADL;Mixing and cooking simple foods, fry eggs, make pancakes, heat food in microwave, etc.;Cozinha alimentos simples, como fritar ovos, aquecer comida no micro-     ondas, etc.;Misturar e cozinhar alimentos simples, fritar ovos, fazer panquecas, aquecer comida no micro-ondas, etc.;Cooks simple foods, such as frying eggs, heating food in the microwave, etc.;Misturar e cozinhar alimentos simples, fritar ovos, fazer panquecas, aquecer alimentos no microondas, etc.;Misturar e cozinhar alimentos simples, fritar ovos, fazer panquecas, aquecer alimentos no micro-ondas, etc.;Misturar e cozinhar alimentos simples, fritar ovos, fazer panquecas, aquecer comida no micro-ondas, etc.;Misturar e cozinhar alimentos simples, fritar ovos, fazer panquecas, aquecer alimentos no micro-ondas, etc.
W-ADL;Preparing complete meal.;Prepara uma refeição completa.;Preparando refeição completa.;Prepares a complete meal.;Preparando refeição completa.;Preparo de refeição completa.;Preparando refeição completa.;Preparando refeição completa.
W-ADL;Setting and clearing table.;Prepara e retira a mesa para as refeições.;Arrumar e limpar a mesa.;Sets and clears the table for meals.;Mesa de configuração e limpeza.;Preparar e limpar a mesa.;Arrumando e limpando a mesa.;Configurar e limpar a tabela.
W-ADL;Drinking from a cup.;Bebe com um copo.;Bebendo de um copo.;Drinks from a cup.;Bebendo de um copo.;Beber em uma xícara.;Bebendo de um copo.;Bebendo de uma xícara.
W-ADL;Eating from a plate.;Utiliza um prato para comer.;Comendo de um prato.;Uses a plate to eat.;Comendo de um prato.;Comer em um prato.;Comendo de um prato.;Comer de um prato.
W-ADL;Washing dishes (including using a dishwasher).;Lava pratos.;Lavar louça (incluindo o uso de uma lava-louças).;Washes dishes.;Lavar pratos (incluindo usar uma máquina de lavar louça).;Lavar louça (incluindo o uso de uma máquina de lavar louça).;Lavar louça (incluindo usar uma lava-louças).;Lavar a louça (incluindo o uso de uma máquina de lavar louça).
W-ADL;Banking and managing daily finances, including keeping track of cash, checking account, paying bills, etc.;Utiliza uma agência bancária e gerencia as finanças diárias, inclusive a manutenção do dinheiro, conta bancária, pagamento de contas etc.;Bancar e gerenciar finanças diárias, incluindo acompanhar o dinheiro, conta corrente, pagar contas, etc.;Uses a bank and manages daily finances, including handling money, bank account, paying bills, etc.;Transações bancárias e gerenciamento de finanças diárias, incluindo controle de dinheiro, conta corrente, pagamento de contas, etc.;Operações bancárias e gerenciamento de finanças diárias, incluindo controle de dinheiro, conta corrente, pagamento de contas, etc.;Bancos e gestão diária de finanças, incluindo controle de dinheiro, conta corrente, pagamento de contas, etc.;Bancos e gestão das finanças diárias, incluindo o controle de dinheiro, conta corrente, pagamento de contas, etc.
SCOFF;Do you make yourself ‘‘sick’’ because you feel uncomfortably full?;Você provoca vômito quando está se sentindo desconfortavelmente cheio?;"Você ""passa mal"" porque se sente desconfortavelmente cheio?";Do you make yourself vomit when you feel uncomfortably full?;"Você se sente ""doente"" porque se sente desconfortavelmente cheio?";"Você fica ""doente"" porque se sente desconfortavelmente cheio?";"Você se sente ""doente"" porque se sente desconfortavelmente cheio?";"Você se faz ""doente"" porque se sente desconfortavelmente cheio?"
SCOFF;Do you worry you have lost ‘‘control’’ over how much you eat?;Você se preocupa de ter perdido o controle do quanto você come?;"Você se preocupa por ter perdido o ""controle"" sobre o quanto você come?";Do you worry that you have lost control over how much you eat?;"Você se preocupa por ter perdido o ""controle"" sobre o quanto come?";"Você teme ter perdido o ""controle"" sobre o que come?";"Você se preocupa que tenha perdido o ""controle"" sobre o quanto você come?";"Você se preocupa por ter perdido o ""controle"" sobre a quantidade que come?"
SCOFF;Have you recently lost ‘‘one’’ stone in a 3-month period?;Você perdeu recentemente mais de 5 quilos num período de 3 meses?;Você perdeu recentemente ‘‘uma’’ pedra em um período de 3 meses?;Have you recently lost more than 5 kilograms in a 3-month period?;"Você perdeu recentemente ""uma"" pedra em um período de 3 meses?";"Você perdeu recentemente ""uma"" pedra em um período de três meses?";"Você perdeu recentemente ""uma"" pedra em um período de 3 meses?";"Você perdeu recentemente ""uma"" pedra em um período de 3 meses?"
SCOFF;Do you believe yourself to be ‘‘fat’’ when others say you are too thin?;Você acredita estar gordo(a), apesar das outras pessoas dizerem que você está muito magro(a)?;"Você se considera ""gordo"" quando os outros dizem que você é muito magro?";Do you believe you are fat, even though others say you are too thin?;"Você acredita que é ""gordo"" quando os outros dizem que você é muito magro?";"Você se considera ""gordo"" quando os outros dizem que você é muito magro?";"Você se considera ""gordo(a)"" quando os outros dizem que você está muito magro(a)?";"Você se acha ""gordo"" quando os outros dizem que você é muito magro?"
SCOFF;Would you say that ‘‘food’’ dominates your life?;Você diria que a comida domina a sua vida?;"Você diria que a ""comida"" domina sua vida?";Would you say that food dominates your life?;"Você diria que a ""comida"" domina sua vida?";"Você diria que a ""comida"" domina sua vida?";"Você diria que a ""comida"" domina sua vida?";"Você diria que a ""comida"" domina sua vida?"
SPAI;I was told more than once that I spend too much time on the smartphone.;Já me disseram mais de uma vez que eu passo tempo demais no smartphone.;Fui informado mais de uma vez que passo tempo demais no smartphone.;I’ve been told more than once that I spend too much time on my smartphone.;Disseram-me mais de uma vez que passo muito tempo no smartphone.;Disseram-me mais de uma vez que eu passava muito tempo no smartphone.;Me disseram mais de uma vez que eu passo tempo demais no smartphone.;Mais de uma vez me disseram que passo muito tempo no smartphone.
SPAI;I feel uneasy once I stop using the smartphone for a certain period of time.;Eu me sinto inquieto quando eu fico sem usar o smartphone durante um certo período de tempo.;Me sinto desconfortável quando paro de usar o smartphone por um certo período de tempo.;I feel restless when I go without using my smartphone for a certain period of time.;Sinto-me desconfortável quando paro de usar o smartphone por um determinado período de tempo.;Sinto-me incomodado quando paro de usar o smartphone por um determinado período de tempo.;Sinto-me inquieto assim que paro de usar o smartphone por um determinado período de tempo.;Eu me sinto inquieto quando paro de usar o smartphone por um certo período de tempo.
SPAI;I think I have been hooking on smartphone longer and longer.;Eu acho que eu tenho ficado cada vez mais tempo conectado ao smartphone.;Acho que tenho ficado viciado no smartphone por mais tempo.;I think I’ve been spending more and more time connected to my smartphone.;Acho que tenho ficado viciado em smartphones cada vez mais.;Acho que estou usando o smartphone há cada vez mais tempo.;Eu acho que tenho ficado cada vez mais tempo no smartphone.;Acho que estou ficando cada vez mais viciado em smartphone.
SPAI;I feel restless and irritable when the smartphone is unavailable.;Eu me sinto inquieto e irritado quando não tenho acesso ao smartphone.;Me sinto inquieto e irritado quando o smartphone não está disponível.;I feel restless and irritated when I don’t have access to my smartphone.;Sinto-me inquieto e irritado quando o smartphone não está disponível.;Sinto-me inquieto e irritado quando o smartphone não está disponível.;Sinto-me inquieto e irritado quando o smartphone não está disponível.;Eu me sinto inquieto e irritado quando o smartphone não está disponível.
SPAI;I feel very vigorous upon smartphone use regardless the fatigues experienced.;Eu me sinto disposto a usar o smartphone mesmo quando me sinto cansado.;Sinto-me muito vigoroso ao usar o smartphone, independentemente do cansaço experimentado.;I feel willing to use my smartphone even when I’m tired.;Sinto-me muito vigoroso com o uso do smartphone, independentemente das fadigas experimentadas.;Sinto-me muito vigoroso com o uso do smartphone, independentemente do cansaço.;Sinto-me muito vigoroso ao usar o smartphone, independentemente das fadigas experimentadas.;Sinto-me muito vigoroso ao usar o smartphone, independentemente da fadiga que sinto.
SPAI;I use the smartphone for a long period of time and spend more money than I have intended.;Eu uso smartphone durante mais tempo e/ou gasto mais dinheiro nele do que eu pretendia inicialmente.;Uso o smartphone por um longo período de tempo e gasto mais dinheiro do que pretendia.;I use my smartphone for longer and/or spend more money on it than I initially intended.;Eu uso o smartphone por um longo período de tempo e gasto mais dinheiro do que pretendia.;Uso o smartphone por um longo período de tempo e gasto mais dinheiro do que pretendia.;Eu uso o smartphone por um longo período de tempo e gasto mais dinheiro do que pretendia.;Eu uso o smartphone por um longo período de tempo e gasto mais dinheiro do que eu pretendia.
SPAI;Although using smartphone has brought negative effects on my interpersonal relationships, the amount of time spent on the Internet remains unreduced.;Embora o uso de smartphone tenha trazido efeitos negativos nos meus relacionamentos interpessoais, a quantidade de tempo que eu gasto nele mantem-se a mesma.;Embora o uso do smartphone tenha trazido efeitos negativos para meus relacionamentos interpessoais, a quantidade de tempo gasto na Internet permanece inalterada.;Even though smartphone use has had negative effects on my interpersonal relationships, the amount of time I spend on it remains the same.;Embora o uso do smartphone tenha trazido efeitos negativos em meus relacionamentos interpessoais, a quantidade de tempo gasto na Internet permanece inalterada.;Embora o uso do smartphone tenha causado efeitos negativos em meus relacionamentos interpessoais, o tempo gasto na Internet não diminuiu.;Embora o uso do smartphone tenha trazido efeitos negativos para minhas relações interpessoais, a quantidade de tempo gasto na Internet permanece inalterada.;Embora o uso do smartphone tenha trazido efeitos negativos para meus relacionamentos interpessoais, o tempo gasto na Internet permanece inalterado.
SPAI;I have slept less than four hours due to using the smartphone more than once.;Em mais de uma ocasião, eu dormi menos que quatro horas porque fiquei usando o smartphone.;Dormi menos de quatro horas por usar o smartphone mais de uma vez.;On more than one occasion, I slept less than four hours because I was using my smartphone.;Dormi menos de quatro horas devido ao uso do smartphone mais de uma vez.;Já dormi menos de quatro horas devido ao uso do smartphone mais de uma vez.;Eu dormi menos de quatro horas devido ao uso do smartphone mais de uma vez.;Eu dormi menos de quatro horas por usar o smartphone mais de uma vez.
SPAI;I have increased a substantial amount of time using smartphone per week in the last 3 months.;Eu tenho aumentado consideravelmente o tempo gasto usando o smartphone nos últimos 3 meses.;Aumentei substancialmente o tempo de uso do smartphone por semana nos últimos 3 meses.;I have significantly increased the amount of time spent using my smartphone in the last 3 months.;Aumentei uma quantidade substancial de tempo usando smartphone por semana nos últimos 3 meses.;Nos últimos três meses, aumentei consideravelmente o tempo de uso do smartphone por semana.;Nas últimas 3 meses, aumentei consideravelmente a quantidade de tempo que uso o smartphone por semana.;Eu aumentei uma quantidade substancial de tempo usando o smartphone por semana nos últimos 3 meses.
SPAI;I feel distressed or down once I cease using the smartphone for a certain period of time.;Eu me sinto incomodado ou para baixo quando eu paro de usar o smartphone por um certo período de tempo.;Me sinto angustiado ou para baixo quando paro de usar o smartphone por um certo período de tempo.;I feel uncomfortable or down when I stop using my smartphone for a certain period of time.;Sinto-me angustiado ou deprimido quando paro de usar o smartphone por um determinado período de tempo.;Sinto-me angustiado ou deprimido quando deixo de usar o smartphone por um determinado período de tempo.;Sinto-me angustiado ou desanimado assim que paro de usar o smartphone por um determinado período de tempo.;Eu me sinto angustiado ou deprimido quando paro de usar o smartphone por um certo período de tempo.
SPAI;I fail to control the impulse to use the smartphone.;Eu não consigo controlar o impulso de utilizar o smartphone.;Não consigo controlar o impulso de usar o smartphone.;I can’t control the impulse to use my smartphone.;Não consigo controlar o impulso de usar o smartphone.;Não consigo controlar o impulso de usar o smartphone.;Não consigo controlar o impulso de usar o smartphone.;Não consigo controlar o impulso de usar o smartphone.
SPAI;I find myself indulged on the smartphone at the cost of hanging out with friends.;Eu me sinto mais satisfeito utilizando o smartphone do que passando tempo com meus amigos.;Percebo que estou me dedicando ao smartphone em detrimento de sair com amigos.;I feel more satisfied using my smartphone than spending time with my friends.;Eu me vejo entregado ao smartphone ao custo de sair com os amigos.;Acabo me entregando ao smartphone em detrimento do convívio com os amigos.;Eu me vejo mergulhado no smartphone em detrimento de sair com os amigos.;Eu me pego me entregando ao smartphone em vez de sair com os amigos.
SPAI;I feel aches and soreness in the back or eye discomforts due to excessive smartphone use.;Eu sinto dores ou incômodos nas costas, ou desconforto nos olhos, devido ao uso excessivo do smartphone.;Sinto dores e desconforto nas costas ou nos olhos devido ao uso excessivo do smartphone.;I feel pain or discomfort in my back, or eye strain, due to excessive smartphone use.;Sinto dores nas costas ou desconfortos oculares devido ao uso excessivo de smartphones.;Sinto dores nas costas ou desconforto nos olhos devido ao uso excessivo do smartphone.;Sinto dores e desconfortos nas costas ou desconfortos nos olhos devido ao uso excessivo de smartphone.;Sinto dores e desconfortos nas costas ou nos olhos devido ao uso excessivo do smartphone.
SPAI;The idea of using smartphone comes as the first thought on my mind when I wake up each morning.;A ideia de utilizar o smartphone vem como primeiro pensamento na minha cabeça quando acordo de manha.;A ideia de usar o smartphone vem como o primeiro pensamento na minha mente quando acordo todas as manhãs.;The idea of using my smartphone is the first thought in my head when I wake up in the morning.;A ideia de usar o smartphone vem como o primeiro pensamento em minha mente quando acordo todas as manhãs.;A ideia de usar um smartphone é o primeiro pensamento que me vem à mente quando acordo todas as manhãs.;A ideia de usar o smartphone vem como o primeiro pensamento na minha mente quando acordo todas as manhãs.;A ideia de usar o smartphone é o primeiro pensamento que me vem à cabeça quando acordo todas as manhãs.
SPAI;The use of smartphone has exercised certain negative effects on my schoolwork or job performance.;O uso de smartphone tem causado efeitos negativos no meu desempenho na escola ou no trabalho.;O uso do smartphone tem exercido certos efeitos negativos no meu desempenho escolar ou no trabalho.;Smartphone use has had negative effects on my performance at school or work.;O uso de smartphone exerceu certos efeitos negativos em meus trabalhos escolares ou desempenho no trabalho.;O uso do smartphone exerceu alguns efeitos negativos em meus trabalhos escolares ou no desempenho profissional.;O uso de smartphone teve certos efeitos negativos no meu desempenho escolar ou profissional.;O uso do smartphone teve alguns efeitos negativos no meu desempenho escolar ou profissional.
SPAI;I feel missing something after stopping smartphone for a certain period of time.;Eu sinto falta de algo ao parar o uso do smartphone por um certo período de tempo.;Sinto que estou perdendo algo depois de parar de usar o smartphone por um certo período de tempo.;I feel like I’m missing something when I stop using my smartphone for a certain period of time.;Sinto falta de algo depois de parar o smartphone por um certo período de tempo.;Sinto que falta alguma coisa depois de parar de usar o smartphone por um determinado período de tempo.;Sinto que falta algo depois de parar de usar o smartphone por um certo período de tempo.;Eu sinto falta de algo depois de parar de usar o smartphone por um certo período de tempo.
SPAI;My interaction with family members has decreased on account of smartphone use.;Minha interação com meus familiares diminuiu por causa do meu uso do smartphone.;Minha interação com os membros da família diminuiu por conta do uso de smartphones.;My interaction with my family members has decreased because of my smartphone use.;Minha interação com os membros da família diminuiu por causa do uso do smartphone.;Minha interação com os membros da família diminuiu por causa do uso do smartphone.;Minha interação com membros da família diminuiu por conta do uso de smartphone.;Minha interação com os membros da família diminuiu por causa do uso do smartphone.
SPAI;My recreational activities are reduced due to smartphone use.;Minhas atividades de lazer diminuíram por causa do uso do smartphone.;Minhas atividades recreativas estão reduzidas devido ao uso do smartphone.;My leisure activities have decreased because of smartphone use.;Minhas atividades recreativas são reduzidas devido ao uso do smartphone.;Minhas atividades recreativas são reduzidas devido ao uso do smartphone.;Minhas atividades recreativas são reduzidas devido ao uso de smartphone.;Minhas atividades de lazer são reduzidas devido ao uso do smartphone.
SPAI;I feel the urge to use my smartphone again right after I stop using it.;Eu sinto uma grande vontade de usar o smartphone novamente logo depois que eu paro de usa-lo.;Sinto vontade de usar meu smartphone novamente logo após parar de usá-lo.;I feel a strong urge to use the smartphone again right after I stop using it.;Sinto vontade de usar meu smartphone novamente logo depois de parar de usá-lo.;Sinto vontade de usar meu smartphone novamente logo após parar de usá-lo.;Sinto a necessidade de usar meu smartphone novamente logo após parar de usá-lo.;Sinto a necessidade de usar meu smartphone novamente logo depois de parar de usá-lo.
SPAI;My life would be joyless had not there been the smartphone. ;Minha vida seria sem graça se eu não tivesse o smartphone.;Minha vida seria sem alegria se não fosse o smartphone.;My life would be boring if I didn’t have a smartphone.;Minha vida seria sem alegria se não houvesse o smartphone. ;Minha vida seria sem alegria se não houvesse o smartphone.;Minha vida seria sem alegria se não houvesse o smartphone.;Minha vida seria sem alegria se não fosse o smartphone. 
